Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Armstrong, Andy",Pac 12,Oregon St.,So,INF,,,26,0.227,0.308,0.409,0,0.182,0,0,3.85,11.54,7.69,0.238,0.317,0,3
"Armstrong, Sam",ASUN,Jacksonville,Sr,INF,,,144,0.208,0.313,0.35,4,0.142,0,1,35.42,11.81,-23.61,0.313,0.297,-5,13
"Arndt, Josh",Ivy League,Cornell,Jr,INF,,,52,0.341,0.442,0.591,1,0.25,1,2,25,13.46,-11.54,0.467,0.437,4,11
"Arnold, Chase",Atlantic 10,La Salle,Sr,1B,,,111,0.21,0.252,0.29,1,0.08,0,1,33.33,6.31,-27.02,0.303,0.236,-9,4
"Arnold, Sean",Southland,Incarnate Word,So,C,,,100,0.21,0.35,0.259,0,0.049,2,3,13,13,0,0.246,0.289,-4,8
"Arpan, Chris",West Coast,Portland,So,UT,,,9,0,0.111,0,0,0,0,0,77.78,11.11,-66.67,0,0.077,-2,-1
"Arruda, JT",Mountain West,Fresno St.,Fr,INF,,,56,0.289,0.429,0.4,0,0.111,0,1,21.43,19.64,-1.79,0.394,0.371,2,9
"Artigues, Jonathon",AAC,Tulane,So,INF,,,93,0.279,0.323,0.407,2,0.128,3,3,23.66,3.23,-20.43,0.355,0.319,-1,10
"Artis, D.J.",Big South,Liberty,Jr,OF,2018,218,286,0.354,0.49,0.516,5,0.161,25,31,11.19,16.08,4.89,0.396,0.439,25,60
"Artz, Jake",Atlantic 10,Saint Josephs,Fr,OF,,,21,0.167,0.238,0.222,0,0.056,1,1,33.33,4.76,-28.57,0.25,0.21,-2,0
"Asbill, Josh",Big South,Charleston So.,Fr,INF,,,7,0.286,0.286,0.571,0,0.286,0,0,0,0,0,0.286,0.35,0,1
"Asher, Brooks",Big 12,Kansas,So,C,,,5,0.5,0.6,0.75,0,0.25,0,0,20,20,0,0.667,0.562,1,2
"Ashford, Zach",Mountain West,Fresno St.,Jr,OF,,,94,0.342,0.394,0.418,0,0.076,1,2,19.15,6.38,-12.77,0.435,0.365,2,14
"Ashley, Drew",Big 10,Indiana,Fr,C,,,37,0.357,0.405,0.393,0,0.036,1,1,16.22,10.81,-5.41,0.435,0.371,1,6
"Aslett, Ben",OVC,UT Martin,Sr,INF,,,61,0.28,0.393,0.36,0,0.08,0,0,9.84,8.2,-1.64,0.318,0.347,1,8
"Assante, Anthony",Metro Atlantic,Saint Peters,Sr,P,,,13,0.308,0.308,0.308,0,0,0,0,15.38,0,-15.38,0.364,0.27,-1,1
"Asta, Matt",Western Athletic,Grand Canyon,Jr,C,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Athey, Jeff",Big 10,Nebraska,Fr,INF,,,10,0,0.3,0,0,0,0,0,0,10,10,0,0.213,-1,0
"Atkins, Grant",OVC,Jacksonville St.,Fr,OF,,,17,0.063,0.118,0.063,0,0,0,0,29.41,5.88,-23.53,0.091,0.092,-3,-1
"Atkins, Nick",Mountain West,New Mexico,Fr,INF,,,13,0.154,0.154,0.154,0,0,0,0,30.77,0,-30.77,0.222,0.135,-2,-1
"Atterbury, Jalen",Mid-Eastern,Savannah St.,Jr,DH,,,90,0.25,0.356,0.289,0,0.039,3,5,22.22,11.11,-11.11,0.339,0.302,-3,8
"Aucker, Aaron",Conference USA,Middle Tenn,Sr,INF,,,149,0.328,0.409,0.711,13,0.383,0,0,18.79,9.4,-9.39,0.33,0.463,16,34
"Ausmus, Rainer",Big 12,Kansas State,Jr,INF,,,49,0.19,0.306,0.333,1,0.143,0,0,14.29,14.29,0,0.206,0.288,-2,4
"Austin, Cross",Southland,Sam Houston St.,So,INF,,,20,0.056,0.1,0.056,0,0,0,0,30,5,-25,0.077,0.078,-4,-2
"Austrie, Dion",Metro Atlantic,Iona,Sr,INF,,,15,0.133,0.133,0.133,0,0,0,0,40,0,-40,0.222,0.117,-3,-1
"Avans, Drew",Southland,Southeastern LA.,Sr,OF,2018,1004,173,0.297,0.468,0.406,2,0.109,17,22,18.5,19.65,1.15,0.379,0.398,9,30
"Avant, Chandler",SEC,Alabama,Sr,INF,2018,890,235,0.289,0.345,0.355,1,0.066,6,11,9.36,5.96,-3.4,0.317,0.313,-4,24
"Avant, Christian",Sun Belt,Georgia Southern,Fr,C,,,49,0.317,0.388,0.366,0,0.049,1,1,14.29,6.12,-8.17,0.371,0.34,0,6
