Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,Pitches,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,ERA,FIP
"Armstrong, Trevor",Summit League,Fort Wayne,Fr,P,,,29,154,446,10.39,10.39,0,0.357,0.403,0.492,0.374,21.43,20.78,8.07,5.15
"Armstrong, Walker",Big West,CSUN,Jr,P,,,93,389,1410,15.94,6.68,9.26,0.264,0.332,0.344,0.301,32.65,17.48,3.39,3.71
"Arneth, Anthony",Metro Atlantic,Rider,Jr,P,,,22,121,262,14.88,13.22,1.66,0.33,0.438,0.526,0.412,11.57,27.27,9.41,6.74
"Arnold, Austin",Ivy League,Cornell,Jr,P,,,3.2,17,47,23.53,5.88,17.65,0.214,0.294,0.214,0.238,5.88,35.29,0,2.52
"Arnold, Hayden",Sun Belt,Little Rock,Fr,P,,,51,212,894,25,9.91,15.09,0.207,0.283,0.353,0.276,20.75,23.11,3.53,3.64
"Arnold, Josh",Metro Atlantic,Fairfield,So,P,,,53.1,242,531,18.18,13.64,4.54,0.249,0.368,0.358,0.328,20.66,23.55,4.89,4.92
"Arnone, Riley",Big South,Winthrop,Sr,P,,,48,219,439,16.89,9.59,7.3,0.291,0.356,0.46,0.348,23.29,21,5.62,5.21
"Arntsen, Steve",Metro Atlantic,Manhattan,Sr,P,,,31.1,156,370,14.1,10.9,3.2,0.315,0.404,0.508,0.388,20.51,22.44,8.9,5.53
"Ash, Konnor",SEC,Missouri,Fr,P,,,14.2,67,209,20.9,13.43,7.47,0.328,0.418,0.552,0.414,14.93,22.39,7.98,5.82
"Ashkinos, Jacob",Big 12,Baylor,So,P,,,25.2,121,284,22.31,14.88,7.43,0.257,0.372,0.455,0.358,12.4,27.27,5.26,4.81
"Ashur, Andrew",Atlantic 10,Davidson,Jr,P,,,12.1,63,225,11.11,17.46,-6.35,0.265,0.397,0.388,0.349,20.63,25.4,3.65,6.04
"Ashworth, Colin",Big West,Hawaii,Sr,P,,,11,52,154,19.23,11.54,7.69,0.273,0.365,0.341,0.316,23.08,19.23,1.64,3.24
"Assante, Anthony",Metro Atlantic,Saint Peters,Sr,P,,,18.1,121,267,17.36,14.05,3.31,0.438,0.545,0.698,0.52,9.09,18.18,16.69,7.68
"Aubin, Casey",Atlantic 10,Massachusetts,Jr,P,,,30,128,429,24.22,9.38,14.84,0.23,0.297,0.336,0.277,17.19,26.56,4.5,2.71
"Aufiero, Matt",Northeast,Sacred Heart,Fr,P,,,32,143,355,13.29,2.8,10.49,0.326,0.357,0.447,0.345,16.08,32.87,5.06,3.52
"Aungst, Justin",Atlantic 10,Saint Josephs,Sr,P,,,70.2,303,930,19.14,5.94,13.2,0.269,0.327,0.418,0.321,27.39,19.8,3.57,3.3
"Ausley, Landon",Southland,Sam Houston St.,Fr,P,,,21.1,92,313,35.87,18.48,17.39,0.137,0.293,0.151,0.227,13.04,19.57,2.53,2.44
"Austin, Logan",Sun Belt,UT Arlington,Jr,P,,,51.2,229,814,18.78,9.61,9.17,0.276,0.345,0.342,0.304,24.45,19.65,3.31,3.38
"Ausua, Miguel",Summit League,Oral Roberts,Sr,P,2018,876,90.2,390,1425,17.69,8.72,8.97,0.246,0.321,0.381,0.306,25.9,22.31,3.67,4.28
"Autin, Zach",Southland,Nicholls St.,So,P,,,17.2,100,388,14,21,-7,0.265,0.45,0.338,0.365,16,20,5.6,6.23
"Avventino, Brenden",Big West,UC Riverside,Fr,UT,,,2.2,14,34,0,7.14,-7.14,0.385,0.429,0.923,0.543,14.29,42.86,13.5,10.42
"Ay, Bobby",Big West,Cal Poly,Jr,P,,,2.2,16,67,12.5,18.75,-6.25,0.385,0.5,0.615,0.475,31.25,6.25,16.88,11.33
"Ayala, A.G.",Southland,A&M-Corpus Chris,Fr,P,,,44,181,666,23.76,9.94,13.82,0.178,0.282,0.28,0.258,24.86,22.65,2.86,3.94
"Ayer, Brett",Colonial,James Madison,So,P,,,20,85,362,36.47,15.29,21.18,0.121,0.271,0.152,0.214,9.41,22.35,0.45,2.3
"Ayers, Bryan",Sun Belt,Arkansas St.,Sr,P,,,13,68,256,25,19.12,5.88,0.264,0.412,0.547,0.406,10.29,22.06,11.77,7.76
"Baar, Keegan",Big 10,Michigan State,Sr,P,,,6.1,33,36,6.06,6.06,0,0.321,0.364,0.643,0.405,15.15,36.36,8.53,8.23
"Baayoun, Zak",Big West,Long Beach St.,So,P,,,98,417,1555,20.14,5.76,14.38,0.263,0.314,0.375,0.299,26.14,20.14,3.58,3.08
"Bach, Carter",ACC,Wake Forest,So,P,,,26.2,143,592,19.58,18.88,0.7,0.305,0.476,0.552,0.439,15.38,16.08,10.46,6.62
"Bachman, Marc",Ivy League,Dartmouth,Sr,P,,,11,60,136,16.67,10,6.67,0.431,0.5,0.784,0.527,23.33,8.33,9.82,8.24
"Backhus, Kyle",Southland,Sam Houston St.,So,P,,,17.2,90,330,22.22,25.56,-3.34,0.18,0.433,0.311,0.356,18.89,14.44,5.6,6.46
"Backman, Trevor",Metro Atlantic,Marist,Fr,P,,,20.2,99,238,12.12,11.11,1.01,0.275,0.364,0.388,0.326,20.2,26.26,3.92,4.04
"Backofen, Kyle",Sun Belt,La.-Monroe,So,P,,,36.1,180,292,13.89,5.56,8.33,0.384,0.428,0.646,0.451,14.44,27.78,10.16,6.89
"Bader, Ryan",Big 10,Northwestern,Fr,P,,,30.2,149,184,12.75,12.08,0.67,0.32,0.416,0.408,0.366,23.49,20.81,7.34,4.5
"Baduel, Raul",Southwestern,Grambling,Sr,P,,,62.2,281,745,12.1,11.39,0.71,0.282,0.391,0.389,0.349,24.56,23.13,5.6,5.01
"Baeza, Alex",Big West,Hawaii,Fr,INF,,,0.2,4,21,25,75,-50,0,0.75,0,0.518,0,0,0,38.15
"Bafus, Curtis",Atlantic 10,VCU,Jr,P,,,28.1,127,467,14.96,14.96,0,0.21,0.346,0.305,0.302,27.56,22.83,3.81,5.07
