Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Apostle, Jason",Ivy League,Cornell,Fr,OF,,,69,0.232,0.348,0.321,1,0.089,2,3,27.54,11.59,-15.95,0.324,0.308,-2,7
"Archambo, AJ",Summit League,Oral Roberts,Fr,OF,,,36,0.08,0.278,0.16,0,0.08,0,1,44.44,19.44,-25,0.2,0.237,-3,1
"Arciuolo, Drew",Metro Atlantic,Fairfield,Sr,OF,,,577,0.279,0.359,0.329,1,0.05,34,42,14.38,10.57,-3.81,0.329,0.312,-11,59
"Ard, Nolan",Summit League,Western Ill.,Jr,INF,,,9,0.111,0.111,0.111,0,0,0,0,44.44,0,-44.44,0.2,0.098,-2,-1
"Ardito, Zachary",American East,Hartford,So,INF,,,213,0.276,0.31,0.354,0,0.078,8,12,7.98,5.16,-2.82,0.293,0.289,-8,18
"Arenas, Jorge",ASUN,Stetson,So,SS,,,364,0.251,0.308,0.358,5,0.107,14,18,23.35,6.04,-17.31,0.32,0.293,-13,32
"Arias de los Santos, Luis",Northeast,LIU Brooklyn,Jr,INF,,,423,0.239,0.34,0.366,9,0.127,17,23,18.2,12.06,-6.14,0.28,0.32,-5,46
"Arias, Bryan",Conference USA,UTSA,Jr,INF,,,525,0.322,0.39,0.515,16,0.193,14,22,20.76,9.33,-11.43,0.388,0.388,23,88
"Armendinger, Matt",Northeast,Fairleigh Dickinson,So,INF,,,33,0.103,0.182,0.103,0,0,1,1,39.39,6.06,-33.33,0.176,0.144,-5,-1
"Armenta, Angelo",Pac 12,Southern Cal,Jr,INF,,,142,0.275,0.352,0.325,1,0.05,1,4,12.68,11.97,-0.71,0.311,0.309,-3,14
"Armitage, Reece",Metro Atlantic,Marist,Fr,OF,,,105,0.311,0.4,0.433,1,0.122,1,3,17.14,12.38,-4.76,0.38,0.368,3,16
"Armitage, Robbie",Metro Atlantic,Marist,Fr,INF,,,4,0,0.25,0,0,0,0,0,50,25,-25,0,0.173,-1,0
"Armstrong, Andy",Pac 12,Oregon St.,So,INF,,,81,0.299,0.333,0.493,2,0.194,1,1,11.11,6.17,-4.94,0.321,0.368,2,12
"Armstrong, Sam",ASUN,Jacksonville,Sr,INF,,,549,0.26,0.384,0.422,14,0.162,6,10,24.95,16.58,-8.37,0.342,0.357,10,77
"Arndorfer, John",ACC,Notre Dame,Fr,OF,,,1,0,0,0,0,0,0,0,100,0,-100,NA,0,0,0
"Arndt, Josh",Ivy League,Cornell,Jr,INF,,,244,0.197,0.238,0.268,1,0.07,4,6,17.62,4.92,-12.7,0.238,0.225,-23,7
"Arnold, Chase",Atlantic 10,La Salle,Sr,1B,,,322,0.207,0.273,0.338,5,0.131,1,1,31.06,8.39,-22.67,0.293,0.268,-18,21
"Arnold, Sean",Southland,Incarnate Word,So,C,,,166,0.285,0.446,0.374,1,0.089,5,8,11.45,17.47,6.02,0.324,0.378,6,26
"Arpan, Chris",West Coast,Portland,So,UT,,,91,0.253,0.363,0.373,2,0.12,0,0,25.27,12.09,-13.18,0.34,0.335,0,11
"Arruda, JT",Mountain West,Fresno St.,Fr,INF,,,188,0.309,0.378,0.527,8,0.218,4,4,17.02,10.11,-6.91,0.339,0.385,8,31
"Artigues, Jonathon",AAC,Tulane,So,INF,,,194,0.303,0.402,0.406,1,0.103,7,9,25.26,8.76,-16.5,0.426,0.362,4,28
"Artis, D.J.",Big South,Liberty,Jr,OF,2018,218,531,0.337,0.503,0.481,7,0.144,44,50,13.94,22.22,8.28,0.395,0.433,44,109
"Artz, Jake",Atlantic 10,Saint Josephs,Fr,OF,,,55,0.128,0.255,0.17,0,0.043,1,1,23.64,14.55,-9.09,0.176,0.21,-6,1
"Asbill, Josh",Big South,Charleston So.,Fr,INF,,,45,0.147,0.311,0.176,0,0.029,0,0,37.78,17.78,-20,0.294,0.256,-3,2
"Asher, Brooks",Big 12,Kansas,So,C,,,13,0.333,0.385,0.333,0,0,0,0,30.77,7.69,-23.08,0.5,0.323,0,1
"Ashford, Zach",Mountain West,Fresno St.,Jr,OF,,,464,0.333,0.397,0.446,3,0.113,14,23,11.42,9.05,-2.37,0.377,0.371,14,71
"Ashley, Drew",Big 10,Indiana,Fr,C,,,56,0.271,0.304,0.5,3,0.229,0,0,12.5,5.36,-7.14,0.256,0.346,1,7
"Aslett, Ben",OVC,UT Martin,Sr,INF,,,231,0.321,0.398,0.461,6,0.14,0,1,19.05,8.66,-10.39,0.378,0.375,8,36
"Assante, Anthony",Metro Atlantic,Saint Peters,Sr,P,,,35,0.267,0.343,0.367,0,0.1,0,0,17.14,8.57,-8.57,0.32,0.312,-1,4
"Asta, Matt",Western Athletic,Grand Canyon,Jr,C,,,1,0,0,0,0,0,0,0,100,0,-100,NA,0,0,0
"Athey, Jeff",Big 10,Nebraska,Fr,INF,,,29,0.167,0.31,0.375,1,0.208,0,0,27.59,13.79,-13.8,0.2,0.306,-1,3
"Atkins, Grant",OVC,Jacksonville St.,Fr,OF,,,57,0.255,0.368,0.319,0,0.064,1,3,24.56,15.79,-8.77,0.364,0.319,-1,6
"Atkins, Nick",Mountain West,New Mexico,Fr,INF,,,33,0.2,0.242,0.2,0,0,1,1,15.15,3.03,-12.12,0.24,0.209,-4,1
"Atterbury, Jalen",Mid-Eastern,Savannah St.,Jr,DH,,,408,0.253,0.336,0.331,2,0.078,41,48,15.69,7.6,-8.09,0.304,0.302,-11,38
"Aucker, Aaron",Conference USA,Middle Tenn,Sr,INF,,,435,0.324,0.405,0.505,12,0.182,1,1,17.24,8.51,-8.73,0.372,0.391,21,74
"Ausmus, Rainer",Big 12,Kansas State,Jr,INF,,,111,0.196,0.306,0.326,2,0.13,0,0,24.32,8.11,-16.21,0.25,0.289,-4,9
"Austin, Cross",Southland,Sam Houston St.,So,INF,,,26,0.143,0.269,0.238,0,0.095,0,0,11.54,3.85,-7.69,0.158,0.238,-2,1
"Austrie, Dion",Metro Atlantic,Iona,Sr,INF,,,41,0.233,0.415,0.233,0,0,2,3,7.32,14.63,7.31,0.259,0.329,0,5
"Avans, Drew",Southland,Southeastern LA.,Sr,OF,2018,1004,523,0.312,0.421,0.507,15,0.195,46,58,18.16,14.34,-3.82,0.365,0.401,29,93
"Avant, Chandler",SEC,Alabama,Sr,INF,2018,890,697,0.278,0.343,0.377,4,0.099,18,27,13.63,7.32,-6.31,0.319,0.32,-9,76
"Avant, Christian",Sun Belt,Georgia Southern,Fr,C,,,146,0.281,0.377,0.347,2,0.066,10,11,11.64,6.16,-5.48,0.314,0.336,0,18
"Avers, Jason",Sun Belt,Appalachian St.,Fr,C,,,95,0.186,0.263,0.279,1,0.093,0,0,30.53,9.47,-21.06,0.268,0.244,-7,4
"Aviles, Luis",Conference USA,Rice,Fr,C,,,20,0.278,0.35,0.5,1,0.222,0,0,35,5,-30,0.4,0.365,1,3
"Avitia, David",Western Athletic,Grand Canyon,Fr,C,,,61,0.208,0.295,0.245,0,0.038,0,0,24.59,9.84,-14.75,0.282,0.25,-4,3
