Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Baier, Joe",Western Athletic,Chicago St.,Jr,INF,,,13.7,110,14.55,10,4.55,0.323,0.391,0.5,0.38,22.73,21.82,6.29
"Bailey, Charles",Southwestern,Southern U.,So,P,,,5.1,39,5.13,25.64,-20.51,0.385,0.564,0.577,0.487,17.95,17.95,11.97
"Bailey, Chase",American East,UMBC,Sr,P,,,13.1,66,10.61,10.61,0,0.304,0.394,0.696,0.445,27.27,21.21,9.1
"Bailey, Garrett",Ivy League,Cornell,Fr,P,,,1,5,20,0,20,0.4,0.4,0.6,0.424,20,20,1.15
"Bailey, Logan",Conference USA,Louisiana Tech,Jr,P,,,18.2,81,19.75,11.11,8.64,0.229,0.309,0.257,0.259,20.99,25.93,2.87
"Baille, Davis",Pac 12,Washington St.,So,P,,,6.1,40,15,7.5,7.5,0.351,0.4,0.378,0.346,22.5,22.5,2.66
"Bain, Austin",SEC,LSU,Sr,P,,,38.8,231,22.51,12.55,9.96,0.234,0.342,0.34,0.308,17.32,25.54,4.69
"Bair, Carter",Conference USA,Middle Tenn,Jr,P,,,6.6,57,12.28,28.07,-15.79,0.4,0.596,0.675,0.538,12.28,17.54,15.12
"Baird, Butch",Mid American,Ohio,Sr,P,,,24.5,141,21.28,9.22,12.06,0.368,0.447,0.52,0.421,16.31,18.44,5.43
"Baird, Cam",Sun Belt,Texas State,Sr,P,2018,597,25.8,165,11.52,12.73,-1.21,0.413,0.497,0.63,0.477,23.03,14.55,7.6
"Baird, Dustin",Ivy League,Brown,So,P,,,1.2,13,7.69,7.69,0,0.583,0.615,1.167,0.729,0,30.77,25.65
"Baird, Michael",Missouri Valley,Southern Ill.,Sr,P,2018,693,128.5,592,16.05,7.6,8.45,0.261,0.321,0.379,0.304,25.68,23.82,3.82
"Baker, Andrew",SEC,Florida,So,OF,,,12.2,78,17.95,15.38,2.57,0.302,0.436,0.444,0.392,20.51,17.95,7.74
"Baker, Brandon",Sun Belt,Georgia St.,Sr,P,,,22.6,122,26.23,18.85,7.38,0.211,0.361,0.253,0.292,15.57,19.67,4.08
"Baker, Hunter",Southern,Furman,Sr,P,,,7.4,62,8.06,16.13,-8.07,0.347,0.452,0.469,0.4,17.74,25.81,8.01
"Baker, John",Mid American,Ball St.,So,P,,,52.6,261,23.75,6.9,16.85,0.289,0.352,0.413,0.33,20.31,17.24,3.32
"Baker, Justin",Colonial,Col. of Charleston,Sr,P,,,22.4,161,14.29,8.7,5.59,0.328,0.385,0.409,0.344,24.84,18.01,3.95
"Baker, Kevin",West Coast,Portland,Jr,OF,,,36.7,212,16.98,7.55,9.43,0.313,0.377,0.39,0.341,24.06,22.17,3.45
"Baker, Robbie",Atlantic 10,Richmond,Sr,P,,,51.9,258,18.22,7.36,10.86,0.264,0.329,0.449,0.332,20.93,25.58,4.78
"Baker, T.J.",Mid American,Ball St.,Jr,INF,,,19.4,110,19.09,10,9.09,0.278,0.355,0.367,0.316,22.73,17.27,4.49
"Baker, Tristan",Southern,Western Caro.,Jr,P,,,47.3,245,12.65,6.12,6.53,0.304,0.359,0.452,0.348,20.82,28.16,5.16
"Baksha, J.T.",Summit League,Western Ill.,Jr,P,,,13.2,102,15.69,11.76,3.93,0.271,0.392,0.353,0.339,23.53,21.57,4.59
"Bakst, Daniel",Pac 12,Stanford,So,INF,,,8.2,32,18.75,0,18.75,0.194,0.219,0.323,0.234,25,34.38,3.63
"Balderrama Jr., Max",Western Athletic,UTRGV,Fr,P,,,4.1,25,20,24,-4,0.278,0.48,0.278,0.37,8,24,5.83
"Balderson, Brock",Big East,Butler,Jr,P,,,7.9,61,9.84,16.39,-6.55,0.388,0.492,0.49,0.428,19.67,19.67,5.81
"Balducci, Antonio",Atlantic 10,Richmond,Fr,P,,,10.1,42,23.81,14.29,9.52,0.147,0.286,0.324,0.275,30.95,14.29,5.82
"Baldwin, Erin",Southern,Samford,Sr,P,2018,609,20.6,101,20.79,8.91,11.88,0.222,0.287,0.344,0.276,25.74,22.77,3.68
"Ball, Brendan",Patriot,Lafayette,Sr,P,,,17.7,97,10.31,10.31,0,0.369,0.443,0.643,0.454,16.49,27.84,6.99
"Ball, Matt",Patriot,Army,Sr,P,,,52.5,280,15.36,7.5,7.86,0.305,0.379,0.431,0.351,25.36,18.57,4.63
"Ball, Nile",SEC,Missouri,Jr,P,,,14.2,70,15.71,10,5.71,0.281,0.4,0.316,0.332,24.29,18.57,4.13
"Ballew, Seth",Southland,Sam Houston St.,Jr,P,,,48.1,223,14.8,9.42,5.38,0.235,0.305,0.372,0.293,27.8,24.66,3.69
"Bandow, Jackson",Ivy League,Yale,Fr,P,,,0.2,5,20,40,-20,0,0.6,0,0.421,0,20,38.15
"Banks, Jacob",Mid American,Miami (OH),Sr,P,,,24.2,127,12.6,9.45,3.15,0.282,0.362,0.409,0.337,22.05,27.56,4.76
"Barbee, Hunter",Southern,The Citadel,Fr,P,,,5.2,22,18.18,0,18.18,0.105,0.182,0.105,0.145,40.91,18.18,2.76
