Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Anthes, Nathan",Conference USA,UAB,Fr,C,,,5,0,0.2,0,0,0,0,0,20,20,0,0,0.138,-1,0
"Anthony, Josh",SEC,Auburn,Sr,INF,,,66,0.236,0.364,0.291,0,0.055,2,3,19.7,16.67,-3.03,0.31,0.305,-2,6
"Antico, Mike",Big East,St. Johns (NY),So,OF,,,13,0.231,0.231,0.308,0,0.077,2,2,23.08,0,-23.08,0.3,0.231,-1,0
"Antoncic, Justin",Big 10,Michigan State,So,INF,,,65,0.321,0.438,0.396,0,0.075,8,10,16.92,15.38,-1.54,0.405,0.375,2,10
"Antonetty, Elliot",Southwestern,Jackson St.,So,C,,,1,0,0,0,0,0,0,0,100,0,-100,NA,0,0,0
"Antonini, Aaron",Conference USA,Middle Tenn,So,C,,,52,0.233,0.353,0.233,0,0,0,0,19.23,5.77,-13.46,0.303,0.283,-2,4
"Antos, Kyle",Missouri Valley,Bradley,Fr,C,,,7,0.6,0.714,0.6,0,0,1,1,0,28.57,28.57,0.6,0.574,1,2
"Aplin, Rhett",ACC,Florida St,Sr,OF,2018,842,110,0.292,0.409,0.449,2,0.157,1,1,14.55,15.45,0.9,0.329,0.374,4,17
"Aponte, Alejandro",Atlantic 10,George Mason,Jr,INF,,,45,0.27,0.341,0.27,0,0,0,1,4.44,11.11,6.67,0.27,0.278,-2,3
"Aponte, Jancarlos",Southwestern,Mississippi Val.,Fr,INF,,,21,0.125,0.3,0.25,0,0.125,0,0,14.29,14.29,0,0.154,0.262,-1,1
"Apostle, Jason",Ivy League,Cornell,Fr,OF,,,14,0,0.154,0,0,0,0,0,35.71,14.29,-21.42,0,0.106,-3,-1
"Archambo, AJ",Summit League,Oral Roberts,Fr,OF,,,22,0.111,0.273,0.111,0,0,0,0,31.82,18.18,-13.64,0.182,0.205,-2,0
"Arciuolo, Drew",Metro Atlantic,Fairfield,Sr,OF,,,57,0.292,0.375,0.438,1,0.146,1,1,7.02,12.28,5.26,0.295,0.352,1,8
"Ard, Nolan",Summit League,Western Ill.,Jr,INF,,,10,0.111,0.2,0.111,0,0,0,0,30,0,-30,0.167,0.16,-1,0
"Ardito, Zachary",American East,Hartford,So,INF,,,53,0.25,0.365,0.341,0,0.091,4,5,7.55,15.09,7.54,0.275,0.319,-1,6
"Arenas, Jorge",ASUN,Stetson,So,SS,,,63,0.218,0.302,0.382,1,0.164,2,5,23.81,11.11,-12.7,0.275,0.297,-2,6
"Arias de los Santos, Luis",Northeast,LIU Brooklyn,Jr,INF,,,61,0.333,0.475,0.479,1,0.146,8,8,19.67,21.31,1.64,0.429,0.42,4,12
"Arias, Bryan",Conference USA,UTSA,Jr,INF,,,72,0.298,0.431,0.474,1,0.176,4,5,16.67,18.06,1.39,0.356,0.393,4,12
"Armendinger, Matt",Northeast,Fairleigh Dickinson,So,INF,,,14,0.25,0.357,0.25,0,0,1,2,42.86,14.29,-28.57,0.5,0.287,-1,1
"Armenta, Angelo",Pac 12,Southern Cal,Jr,INF,,,22,0.1,0.143,0.1,0,0,0,0,9.09,0,-9.09,0.111,0.118,-4,-1
"Armitage, Reece",Metro Atlantic,Marist,Fr,OF,,,18,0.077,0.294,0.154,0,0.077,2,2,44.44,16.67,-27.77,0.2,0.237,-1,1
"Armstrong, Andy",Pac 12,Oregon St.,So,INF,,,16,0.267,0.267,0.533,0,0.266,0,0,6.25,0,-6.25,0.286,0.331,0,2
"Armstrong, Sam",ASUN,Jacksonville,Sr,INF,,,51,0.289,0.42,0.474,2,0.185,0,0,33.33,15.69,-17.64,0.429,0.385,2,8
"Arndt, Josh",Ivy League,Cornell,Jr,INF,,,22,0.4,0.455,0.85,1,0.45,1,1,22.73,4.55,-18.18,0.5,0.533,4,6
"Arnold, Chase",Atlantic 10,La Salle,Sr,1B,,,47,0.293,0.362,0.415,1,0.122,0,0,27.66,10.64,-17.02,0.393,0.337,0,6
"Arnold, Sean",Southland,Incarnate Word,So,C,,,49,0.184,0.367,0.211,0,0.027,2,2,18.37,12.24,-6.13,0.241,0.291,-2,4
"Arpan, Chris",West Coast,Portland,So,UT,,,3,0,0,0,0,0,0,0,66.67,0,-66.67,0,0,-1,0
"Arruda, JT",Mountain West,Fresno St.,Fr,INF,,,56,0.289,0.429,0.4,0,0.111,0,1,21.43,19.64,-1.79,0.394,0.371,2,9
"Artigues, Jonathon",AAC,Tulane,So,INF,,,86,0.287,0.337,0.425,2,0.138,3,3,24.42,3.49,-20.93,0.368,0.331,0,10
"Artis, D.J.",Big South,Liberty,Jr,OF,2018,218,97,0.346,0.469,0.641,4,0.295,8,10,15.46,12.37,-3.09,0.39,0.466,11,23
