Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Andrews, Luke",Big West,UC Santa Barbara,Jr,P,,,33.1,133,20.3,3.01,17.29,0.228,0.256,0.325,0.25,28.57,22.56,2.84
"Andrews, Tanner",Big 10,Purdue,Sr,P,2018,297,149.7,708,16.1,8.47,7.63,0.266,0.335,0.375,0.31,26.27,21.19,3.98
"Andritsos, Chris",SEC,Texas A&M,So,INF,,,1.2,7,14.29,0,14.29,0.167,0.143,0.333,0.177,28.57,28.57,1.48
"Angel, Kyle",Colonial,Northeastern,Fr,P,,,5.1,32,12.5,31.25,-18.75,0.211,0.469,0.211,0.348,15.63,18.75,8.05
"Antalek, Jason",Metro Atlantic,Iona,So,P,,,16,86,12.79,5.81,6.98,0.321,0.372,0.436,0.35,22.09,26.74,3.08
"Anthony, Mike",Atlantic 10,La Salle,Jr,P,,,61.2,342,14.04,12.87,1.17,0.307,0.401,0.437,0.363,19.59,22.51,5.19
"Appel, Mike",Northeast,Central Conn. St.,Jr,P,,,100.9,484,15.7,13.22,2.48,0.254,0.374,0.362,0.33,19.01,25.41,4.85
"Applegate, Jason",Big East,Villanova,Jr,P,,,27.4,178,19.66,12.36,7.3,0.245,0.382,0.399,0.348,23.03,17.98,6.1
"Archambault, Jesse",Northeast,Mt. St. Marys,Sr,DH,,,24.7,155,14.84,21.94,-7.1,0.311,0.497,0.481,0.428,12.9,19.35,8.21
"Archer, Andy",ACC,Georgia Tech,So,P,,,33.2,145,24.14,6.21,17.93,0.238,0.29,0.331,0.271,22.07,22.07,2.82
"Arel, John",American East,Maine,Sr,P,,,86.9,417,22.78,10.55,12.23,0.232,0.355,0.344,0.316,15.83,23.98,4.09
"Arella, Tyler",Big East,Villanova,So,P,,,49.8,260,18.85,8.46,10.39,0.32,0.377,0.455,0.358,16.54,25,3.93
"Arens, Matt",Big West,Cal Poly,Fr,P,,,19,87,11.49,11.49,0,0.28,0.356,0.373,0.321,17.24,33.33,4.36
"Arguelles, Andy",Sun Belt,South Ala.,So,P,,,47.7,238,21.01,12.18,8.83,0.282,0.374,0.421,0.347,17.65,22.27,4.43
